country,date,confirmed,deaths,recovered
Bangladesh,1/22/20,0,0,0
Bangladesh,1/23/20,0,0,0
Bangladesh,1/24/20,0,0,0
Bangladesh,1/25/20,0,0,0
Bangladesh,1/26/20,0,0,0
Bangladesh,1/27/20,0,0,0
Bangladesh,1/28/20,0,0,0
Bangladesh,1/29/20,0,0,0
Bangladesh,1/30/20,0,0,0
Bangladesh,1/31/20,0,0,0
Bangladesh,2/1/20,0,0,0
Bangladesh,2/2/20,0,0,0
Bangladesh,2/3/20,0,0,0
Bangladesh,2/4/20,0,0,0
Bangladesh,2/5/20,0,0,0
Bangladesh,2/6/20,0,0,0
Bangladesh,2/7/20,0,0,0
Bangladesh,2/8/20,0,0,0
Bangladesh,2/9/20,0,0,0
Bangladesh,2/10/20,0,0,0
Bangladesh,2/11/20,0,0,0
Bangladesh,2/12/20,0,0,0
Bangladesh,2/13/20,0,0,0
Bangladesh,2/14/20,0,0,0
Bangladesh,2/15/20,0,0,0
Bangladesh,2/16/20,0,0,0
Bangladesh,2/17/20,0,0,0
Bangladesh,2/18/20,0,0,0
Bangladesh,2/19/20,0,0,0
Bangladesh,2/20/20,0,0,0
Bangladesh,2/21/20,0,0,0
Bangladesh,2/22/20,0,0,0
Bangladesh,2/23/20,0,0,0
Bangladesh,2/24/20,0,0,0
Bangladesh,2/25/20,0,0,0
Bangladesh,2/26/20,0,0,0
Bangladesh,2/27/20,0,0,0
Bangladesh,2/28/20,0,0,0
Bangladesh,2/29/20,0,0,0
Bangladesh,3/1/20,0,0,0
Bangladesh,3/2/20,0,0,0
Bangladesh,3/3/20,0,0,0
Bangladesh,3/4/20,0,0,0
Bangladesh,3/5/20,0,0,0
Bangladesh,3/6/20,0,0,0
Bangladesh,3/7/20,0,0,0
Bangladesh,3/8/20,3,0,0
Bangladesh,3/9/20,3,0,0
Bangladesh,3/10/20,3,0,0
Bangladesh,3/11/20,3,0,0
Bangladesh,3/12/20,3,0,0
Bangladesh,3/13/20,3,0,0
Bangladesh,3/14/20,3,0,0
Bangladesh,3/15/20,5,0,0
Bangladesh,3/16/20,8,0,2
Bangladesh,3/17/20,10,0,3
Bangladesh,3/18/20,14,1,3
Bangladesh,3/19/20,17,1,3
Bangladesh,3/20/20,20,1,3
