country,date,confirmed,deaths,recovered
India,1/22/20,0,0,0
India,1/23/20,0,0,0
India,1/24/20,0,0,0
India,1/25/20,0,0,0
India,1/26/20,0,0,0
India,1/27/20,0,0,0
India,1/28/20,0,0,0
India,1/29/20,0,0,0
India,1/30/20,1,0,0
India,1/31/20,1,0,0
India,2/1/20,1,0,0
India,2/2/20,2,0,0
India,2/3/20,3,0,0
India,2/4/20,3,0,0
India,2/5/20,3,0,0
India,2/6/20,3,0,0
India,2/7/20,3,0,0
India,2/8/20,3,0,0
India,2/9/20,3,0,0
India,2/10/20,3,0,0
India,2/11/20,3,0,0
India,2/12/20,3,0,0
India,2/13/20,3,0,0
India,2/14/20,3,0,0
India,2/15/20,3,0,0
India,2/16/20,3,0,3
India,2/17/20,3,0,3
India,2/18/20,3,0,3
India,2/19/20,3,0,3
India,2/20/20,3,0,3
India,2/21/20,3,0,3
India,2/22/20,3,0,3
India,2/23/20,3,0,3
India,2/24/20,3,0,3
India,2/25/20,3,0,3
India,2/26/20,3,0,3
India,2/27/20,3,0,3
India,2/28/20,3,0,3
India,2/29/20,3,0,3
India,3/1/20,3,0,3
India,3/2/20,5,0,3
India,3/3/20,5,0,3
India,3/4/20,28,0,3
India,3/5/20,30,0,3
India,3/6/20,31,0,3
India,3/7/20,34,0,3
India,3/8/20,39,0,3
India,3/9/20,43,0,3
India,3/10/20,56,0,4
India,3/11/20,62,1,4
India,3/12/20,73,1,4
India,3/13/20,82,2,4
India,3/14/20,102,2,4
India,3/15/20,113,2,13
India,3/16/20,119,2,13
India,3/17/20,142,3,14
India,3/18/20,156,3,14
India,3/19/20,194,4,15
India,3/20/20,244,5,20
