country,date,confirmed,deaths,recovered
Spain,1/22/20,0,0,0
Spain,1/23/20,0,0,0
Spain,1/24/20,0,0,0
Spain,1/25/20,0,0,0
Spain,1/26/20,0,0,0
Spain,1/27/20,0,0,0
Spain,1/28/20,0,0,0
Spain,1/29/20,0,0,0
Spain,1/30/20,0,0,0
Spain,1/31/20,0,0,0
Spain,2/1/20,1,0,0
Spain,2/2/20,1,0,0
Spain,2/3/20,1,0,0
Spain,2/4/20,1,0,0
Spain,2/5/20,1,0,0
Spain,2/6/20,1,0,0
Spain,2/7/20,1,0,0
Spain,2/8/20,1,0,0
Spain,2/9/20,2,0,0
Spain,2/10/20,2,0,0
Spain,2/11/20,2,0,0
Spain,2/12/20,2,0,0
Spain,2/13/20,2,0,0
Spain,2/14/20,2,0,0
Spain,2/15/20,2,0,2
Spain,2/16/20,2,0,2
Spain,2/17/20,2,0,2
Spain,2/18/20,2,0,2
Spain,2/19/20,2,0,2
Spain,2/20/20,2,0,2
Spain,2/21/20,2,0,2
Spain,2/22/20,2,0,2
Spain,2/23/20,2,0,2
Spain,2/24/20,2,0,2
Spain,2/25/20,6,0,2
Spain,2/26/20,13,0,2
Spain,2/27/20,15,0,2
Spain,2/28/20,32,0,2
Spain,2/29/20,45,0,2
Spain,3/1/20,84,0,2
Spain,3/2/20,120,0,2
Spain,3/3/20,165,1,2
Spain,3/4/20,222,2,2
Spain,3/5/20,259,3,2
Spain,3/6/20,400,5,2
Spain,3/7/20,500,10,30
Spain,3/8/20,673,17,30
Spain,3/9/20,1073,28,32
Spain,3/10/20,1695,35,32
Spain,3/11/20,2277,54,183
Spain,3/12/20,2277,55,183
Spain,3/13/20,5232,133,193
Spain,3/14/20,6391,195,517
Spain,3/15/20,7798,289,517
Spain,3/16/20,9942,342,530
Spain,3/17/20,11748,533,1028
Spain,3/18/20,13910,623,1081
Spain,3/19/20,17963,830,1107
Spain,3/20/20,20410,1043,1588
