country,date,confirmed,deaths,recovered
Australia,1/22/20,0,0,0
Australia,1/23/20,0,0,0
Australia,1/24/20,0,0,0
Australia,1/25/20,0,0,0
Australia,1/26/20,4,0,0
Australia,1/27/20,5,0,0
Australia,1/28/20,5,0,0
Australia,1/29/20,6,0,0
Australia,1/30/20,9,0,2
Australia,1/31/20,9,0,2
Australia,2/1/20,12,0,2
Australia,2/2/20,12,0,2
Australia,2/3/20,12,0,2
Australia,2/4/20,13,0,2
Australia,2/5/20,13,0,2
Australia,2/6/20,14,0,2
Australia,2/7/20,15,0,2
Australia,2/8/20,15,0,2
Australia,2/9/20,15,0,2
Australia,2/10/20,15,0,2
Australia,2/11/20,15,0,2
Australia,2/12/20,15,0,2
Australia,2/13/20,15,0,8
Australia,2/14/20,15,0,8
Australia,2/15/20,15,0,8
Australia,2/16/20,15,0,8
Australia,2/17/20,15,0,10
Australia,2/18/20,15,0,10
Australia,2/19/20,15,0,10
Australia,2/20/20,15,0,10
Australia,2/21/20,19,0,11
Australia,2/22/20,22,0,11
Australia,2/23/20,22,0,11
Australia,2/24/20,22,0,11
Australia,2/25/20,22,0,11
Australia,2/26/20,22,0,11
Australia,2/27/20,23,0,11
Australia,2/28/20,23,0,11
Australia,2/29/20,25,0,11
Australia,3/1/20,27,1,11
Australia,3/2/20,30,1,11
Australia,3/3/20,39,1,11
Australia,3/4/20,52,2,11
Australia,3/5/20,55,2,21
Australia,3/6/20,60,2,21
Australia,3/7/20,63,2,21
Australia,3/8/20,76,3,21
Australia,3/9/20,91,3,21
Australia,3/10/20,107,3,21
Australia,3/11/20,128,3,21
Australia,3/12/20,128,3,21
Australia,3/13/20,200,3,23
Australia,3/14/20,250,3,23
Australia,3/15/20,297,3,23
Australia,3/16/20,377,3,23
Australia,3/17/20,452,5,23
Australia,3/18/20,568,6,23
Australia,3/19/20,681,6,26
Australia,3/20/20,791,7,26
Australia,3/21/20,1071,7,26
