country,date,confirmed,deaths,recovered
Singapore,1/22/20,0,0,0
Singapore,1/23/20,1,0,0
Singapore,1/24/20,3,0,0
Singapore,1/25/20,3,0,0
Singapore,1/26/20,4,0,0
Singapore,1/27/20,5,0,0
Singapore,1/28/20,7,0,0
Singapore,1/29/20,7,0,0
Singapore,1/30/20,10,0,0
Singapore,1/31/20,13,0,0
Singapore,2/1/20,16,0,0
Singapore,2/2/20,18,0,0
Singapore,2/3/20,18,0,0
Singapore,2/4/20,24,0,0
Singapore,2/5/20,28,0,0
Singapore,2/6/20,28,0,0
Singapore,2/7/20,30,0,0
Singapore,2/8/20,33,0,2
Singapore,2/9/20,40,0,2
Singapore,2/10/20,45,0,2
Singapore,2/11/20,47,0,9
Singapore,2/12/20,50,0,15
Singapore,2/13/20,58,0,15
Singapore,2/14/20,67,0,17
Singapore,2/15/20,72,0,18
Singapore,2/16/20,75,0,18
Singapore,2/17/20,77,0,24
Singapore,2/18/20,81,0,29
Singapore,2/19/20,84,0,34
Singapore,2/20/20,84,0,34
Singapore,2/21/20,85,0,37
Singapore,2/22/20,85,0,37
Singapore,2/23/20,89,0,51
Singapore,2/24/20,89,0,51
Singapore,2/25/20,91,0,53
Singapore,2/26/20,93,0,62
Singapore,2/27/20,93,0,62
Singapore,2/28/20,93,0,62
Singapore,2/29/20,102,0,72
Singapore,3/1/20,106,0,72
Singapore,3/2/20,108,0,78
Singapore,3/3/20,110,0,78
Singapore,3/4/20,110,0,78
Singapore,3/5/20,117,0,78
Singapore,3/6/20,130,0,78
Singapore,3/7/20,138,0,78
Singapore,3/8/20,150,0,78
Singapore,3/9/20,150,0,78
Singapore,3/10/20,160,0,78
Singapore,3/11/20,178,0,96
Singapore,3/12/20,178,0,96
Singapore,3/13/20,200,0,97
Singapore,3/14/20,212,0,105
Singapore,3/15/20,226,0,105
Singapore,3/16/20,243,0,109
Singapore,3/17/20,266,0,114
Singapore,3/18/20,313,0,114
Singapore,3/19/20,345,0,114
Singapore,3/20/20,385,0,124
Singapore,3/21/20,432,2,140
