country,date,confirmed,deaths,recovered
North Macedonia,1/22/20,0,0,0
North Macedonia,1/23/20,0,0,0
North Macedonia,1/24/20,0,0,0
North Macedonia,1/25/20,0,0,0
North Macedonia,1/26/20,0,0,0
North Macedonia,1/27/20,0,0,0
North Macedonia,1/28/20,0,0,0
North Macedonia,1/29/20,0,0,0
North Macedonia,1/30/20,0,0,0
North Macedonia,1/31/20,0,0,0
North Macedonia,2/1/20,0,0,0
North Macedonia,2/2/20,0,0,0
North Macedonia,2/3/20,0,0,0
North Macedonia,2/4/20,0,0,0
North Macedonia,2/5/20,0,0,0
North Macedonia,2/6/20,0,0,0
North Macedonia,2/7/20,0,0,0
North Macedonia,2/8/20,0,0,0
North Macedonia,2/9/20,0,0,0
North Macedonia,2/10/20,0,0,0
North Macedonia,2/11/20,0,0,0
North Macedonia,2/12/20,0,0,0
North Macedonia,2/13/20,0,0,0
North Macedonia,2/14/20,0,0,0
North Macedonia,2/15/20,0,0,0
North Macedonia,2/16/20,0,0,0
North Macedonia,2/17/20,0,0,0
North Macedonia,2/18/20,0,0,0
North Macedonia,2/19/20,0,0,0
North Macedonia,2/20/20,0,0,0
North Macedonia,2/21/20,0,0,0
North Macedonia,2/22/20,0,0,0
North Macedonia,2/23/20,0,0,0
North Macedonia,2/24/20,0,0,0
North Macedonia,2/25/20,0,0,0
North Macedonia,2/26/20,1,0,0
North Macedonia,2/27/20,1,0,0
North Macedonia,2/28/20,1,0,0
North Macedonia,2/29/20,1,0,0
North Macedonia,3/1/20,1,0,0
North Macedonia,3/2/20,1,0,0
North Macedonia,3/3/20,1,0,0
North Macedonia,3/4/20,1,0,0
North Macedonia,3/5/20,1,0,0
North Macedonia,3/6/20,3,0,0
North Macedonia,3/7/20,3,0,0
North Macedonia,3/8/20,3,0,0
North Macedonia,3/9/20,3,0,0
North Macedonia,3/10/20,7,0,0
North Macedonia,3/11/20,7,0,0
North Macedonia,3/12/20,7,0,0
North Macedonia,3/13/20,14,0,1
North Macedonia,3/14/20,14,0,1
North Macedonia,3/15/20,14,0,1
North Macedonia,3/16/20,18,0,1
North Macedonia,3/17/20,26,0,1
North Macedonia,3/18/20,35,0,1
North Macedonia,3/19/20,48,0,1
North Macedonia,3/20/20,67,0,1
North Macedonia,3/21/20,85,0,1
