country,date,confirmed,deaths,recovered
Georgia,1/22/20,0,0,0
Georgia,1/23/20,0,0,0
Georgia,1/24/20,0,0,0
Georgia,1/25/20,0,0,0
Georgia,1/26/20,0,0,0
Georgia,1/27/20,0,0,0
Georgia,1/28/20,0,0,0
Georgia,1/29/20,0,0,0
Georgia,1/30/20,0,0,0
Georgia,1/31/20,0,0,0
Georgia,2/1/20,0,0,0
Georgia,2/2/20,0,0,0
Georgia,2/3/20,0,0,0
Georgia,2/4/20,0,0,0
Georgia,2/5/20,0,0,0
Georgia,2/6/20,0,0,0
Georgia,2/7/20,0,0,0
Georgia,2/8/20,0,0,0
Georgia,2/9/20,0,0,0
Georgia,2/10/20,0,0,0
Georgia,2/11/20,0,0,0
Georgia,2/12/20,0,0,0
Georgia,2/13/20,0,0,0
Georgia,2/14/20,0,0,0
Georgia,2/15/20,0,0,0
Georgia,2/16/20,0,0,0
Georgia,2/17/20,0,0,0
Georgia,2/18/20,0,0,0
Georgia,2/19/20,0,0,0
Georgia,2/20/20,0,0,0
Georgia,2/21/20,0,0,0
Georgia,2/22/20,0,0,0
Georgia,2/23/20,0,0,0
Georgia,2/24/20,0,0,0
Georgia,2/25/20,0,0,0
Georgia,2/26/20,1,0,0
Georgia,2/27/20,1,0,0
Georgia,2/28/20,1,0,0
Georgia,2/29/20,1,0,0
Georgia,3/1/20,3,0,0
Georgia,3/2/20,3,0,0
Georgia,3/3/20,3,0,0
Georgia,3/4/20,3,0,0
Georgia,3/5/20,4,0,0
Georgia,3/6/20,4,0,0
Georgia,3/7/20,4,0,0
Georgia,3/8/20,13,0,0
Georgia,3/9/20,15,0,0
Georgia,3/10/20,15,0,0
Georgia,3/11/20,24,0,0
Georgia,3/12/20,24,0,0
Georgia,3/13/20,25,0,0
Georgia,3/14/20,30,0,0
Georgia,3/15/20,33,0,0
Georgia,3/16/20,33,0,1
Georgia,3/17/20,34,0,1
Georgia,3/18/20,38,0,1
Georgia,3/19/20,40,0,1
Georgia,3/20/20,43,0,1
Georgia,3/21/20,49,0,1
