country,date,confirmed,deaths,recovered
Armenia,1/22/20,0,0,0
Armenia,1/23/20,0,0,0
Armenia,1/24/20,0,0,0
Armenia,1/25/20,0,0,0
Armenia,1/26/20,0,0,0
Armenia,1/27/20,0,0,0
Armenia,1/28/20,0,0,0
Armenia,1/29/20,0,0,0
Armenia,1/30/20,0,0,0
Armenia,1/31/20,0,0,0
Armenia,2/1/20,0,0,0
Armenia,2/2/20,0,0,0
Armenia,2/3/20,0,0,0
Armenia,2/4/20,0,0,0
Armenia,2/5/20,0,0,0
Armenia,2/6/20,0,0,0
Armenia,2/7/20,0,0,0
Armenia,2/8/20,0,0,0
Armenia,2/9/20,0,0,0
Armenia,2/10/20,0,0,0
Armenia,2/11/20,0,0,0
Armenia,2/12/20,0,0,0
Armenia,2/13/20,0,0,0
Armenia,2/14/20,0,0,0
Armenia,2/15/20,0,0,0
Armenia,2/16/20,0,0,0
Armenia,2/17/20,0,0,0
Armenia,2/18/20,0,0,0
Armenia,2/19/20,0,0,0
Armenia,2/20/20,0,0,0
Armenia,2/21/20,0,0,0
Armenia,2/22/20,0,0,0
Armenia,2/23/20,0,0,0
Armenia,2/24/20,0,0,0
Armenia,2/25/20,0,0,0
Armenia,2/26/20,0,0,0
Armenia,2/27/20,0,0,0
Armenia,2/28/20,0,0,0
Armenia,2/29/20,0,0,0
Armenia,3/1/20,1,0,0
Armenia,3/2/20,1,0,0
Armenia,3/3/20,1,0,0
Armenia,3/4/20,1,0,0
Armenia,3/5/20,1,0,0
Armenia,3/6/20,1,0,0
Armenia,3/7/20,1,0,0
Armenia,3/8/20,1,0,0
Armenia,3/9/20,1,0,0
Armenia,3/10/20,1,0,0
Armenia,3/11/20,1,0,0
Armenia,3/12/20,4,0,0
Armenia,3/13/20,8,0,0
Armenia,3/14/20,18,0,0
Armenia,3/15/20,26,0,0
Armenia,3/16/20,52,0,0
Armenia,3/17/20,78,0,1
Armenia,3/18/20,84,0,1
Armenia,3/19/20,115,0,1
Armenia,3/20/20,136,0,1
Armenia,3/21/20,160,0,1
