country,date,confirmed,deaths,recovered
Antigua and Barbuda,1/22/20,0,0,0
Antigua and Barbuda,1/23/20,0,0,0
Antigua and Barbuda,1/24/20,0,0,0
Antigua and Barbuda,1/25/20,0,0,0
Antigua and Barbuda,1/26/20,0,0,0
Antigua and Barbuda,1/27/20,0,0,0
Antigua and Barbuda,1/28/20,0,0,0
Antigua and Barbuda,1/29/20,0,0,0
Antigua and Barbuda,1/30/20,0,0,0
Antigua and Barbuda,1/31/20,0,0,0
Antigua and Barbuda,2/1/20,0,0,0
Antigua and Barbuda,2/2/20,0,0,0
Antigua and Barbuda,2/3/20,0,0,0
Antigua and Barbuda,2/4/20,0,0,0
Antigua and Barbuda,2/5/20,0,0,0
Antigua and Barbuda,2/6/20,0,0,0
Antigua and Barbuda,2/7/20,0,0,0
Antigua and Barbuda,2/8/20,0,0,0
Antigua and Barbuda,2/9/20,0,0,0
Antigua and Barbuda,2/10/20,0,0,0
Antigua and Barbuda,2/11/20,0,0,0
Antigua and Barbuda,2/12/20,0,0,0
Antigua and Barbuda,2/13/20,0,0,0
Antigua and Barbuda,2/14/20,0,0,0
Antigua and Barbuda,2/15/20,0,0,0
Antigua and Barbuda,2/16/20,0,0,0
Antigua and Barbuda,2/17/20,0,0,0
Antigua and Barbuda,2/18/20,0,0,0
Antigua and Barbuda,2/19/20,0,0,0
Antigua and Barbuda,2/20/20,0,0,0
Antigua and Barbuda,2/21/20,0,0,0
Antigua and Barbuda,2/22/20,0,0,0
Antigua and Barbuda,2/23/20,0,0,0
Antigua and Barbuda,2/24/20,0,0,0
Antigua and Barbuda,2/25/20,0,0,0
Antigua and Barbuda,2/26/20,0,0,0
Antigua and Barbuda,2/27/20,0,0,0
Antigua and Barbuda,2/28/20,0,0,0
Antigua and Barbuda,2/29/20,0,0,0
Antigua and Barbuda,3/1/20,0,0,0
Antigua and Barbuda,3/2/20,0,0,0
Antigua and Barbuda,3/3/20,0,0,0
Antigua and Barbuda,3/4/20,0,0,0
Antigua and Barbuda,3/5/20,0,0,0
Antigua and Barbuda,3/6/20,0,0,0
Antigua and Barbuda,3/7/20,0,0,0
Antigua and Barbuda,3/8/20,0,0,0
Antigua and Barbuda,3/9/20,0,0,0
Antigua and Barbuda,3/10/20,0,0,0
Antigua and Barbuda,3/11/20,0,0,0
Antigua and Barbuda,3/12/20,0,0,0
Antigua and Barbuda,3/13/20,1,0,0
Antigua and Barbuda,3/14/20,1,0,0
Antigua and Barbuda,3/15/20,1,0,0
Antigua and Barbuda,3/16/20,1,0,0
Antigua and Barbuda,3/17/20,1,0,0
Antigua and Barbuda,3/18/20,1,0,0
Antigua and Barbuda,3/19/20,1,0,0
Antigua and Barbuda,3/20/20,1,0,0
Antigua and Barbuda,3/21/20,1,0,0
